X,Y,sampleid,sample_typ,length_m,longitude,latitude,date,geologist,project,company,py,cp,sph,cc,gal,min_other,hem,mag_sus,conductivi,mal,bloom,carb,fe_carb,clay,chl,epi,sericite,quartz,albite,actinolite,biotite,ksp,alt_other,alt_assemb,ag_ppm,al_pc,as_ppm,au_ppm,b_ppm,ba_ppm,be_ppm,bi_ppm,ca_pc,cd_ppm,ce_ppm,co_ppm,cr_ppm,cs_ppm,cu_pc,cu_ppm,dy_ppm,er_ppm,eu_ppm,fe_pc,ga_ppm,gd_ppm,ge_ppm,hf_ppm,hg_ppm,ho_ppm,in_ppm,k_pc,la_ppm,li_ppm,lu_ppm,mg_pc,mn_ppm,mo_ppm,na_pc,nb_ppm,nd_ppm,ni_ppm,p_ppm,pb_pc,pb_ppm,pd_ppm,pr_ppm,pt_ppm,rb_ppm,re_ppm,s_pc,sb_ppm,sc_ppm,se_ppm,sm_ppm,sn_ppm,sr_ppm,ta_ppm,tb_ppm,te_ppm,th_ppm,ti_pc,tl_ppm,tm_ppm,u_ppm,v_ppm,w_ppm,y_ppm,yb_ppm,zn_pc,zn_ppm,zr_ppm,source,remarks,lithology
-12730176.3669853,5648750.66543271,X725707,Select,,-114.35712,45.1727,June 13 2018,Scott Close,Bonanza,North American Cobalt,,3,,,,,,,,3,0,,,,,,,,,,,0,,,0.21,7.5,793,,,310,3.14,4.67,1.41,0.1,127,4960,61,12.95,,6410,13.6,7.62,1.7,10.15,30.3,11.25,0.24,0.3,,2.54,0.219,2.94,49.4,41.1,0.89,1.44,988,1.53,1.05,13.8,45.1,60.3,430,,2.7,,11.1,,288,-0.002,0.04,0.75,14,1,8.76,4.2,198,1.13,1.95,1.27,10.15,0.41,1.15,1.05,4,85,2.6,79.9,6.89,,29,7.6,VA18164811,"highly schistose mafic sediments, friable with malachite and tr cp",schistose sediments
-12730176.3669853,5648750.66543271,X725707,Select,,-114.35712,45.1727,June 13 2018,Scott Close,Bonanza,North American Cobalt,,3,,,,,,,,3,0,,,,,,,,,,,0,,,0.21,7.5,793,,,310,3.14,4.67,1.41,0.1,127,4960,61,12.95,,6410,13.6,7.62,1.7,10.15,30.3,11.25,0.24,0.3,,2.54,0.219,2.94,49.4,41.1,0.89,1.44,988,1.53,1.05,13.8,45.1,60.3,430,,2.7,,11.1,,288,-0.002,0.04,0.75,14,1,8.76,4.2,198,1.13,1.95,1.27,10.15,0.41,1.15,1.05,4,85,2.6,79.9,6.89,,29,7.6,VA18164811,"highly schistose mafic sediments, friable with malachite and tr cp",schistose sediments
-12730183.909994,5648751.99974027,X725711,Select,,-114.357188,45.172708,Dec 2017,Scott Close,Bonanza,North American Cobalt,,,,,,,,,,,,,,,,,,,,,,0,,,0.27,6.58,65.7,,,830,2.18,9.12,1.28,0.05,91.8,3600,18,26.2,1.65,10000,9.15,4.19,3.36,12.35,22.2,10.85,0.3,-0.1,,1.54,0.213,4.73,54.6,55.5,0.34,2.44,988,2.06,0.2,42.7,58.5,42.9,5600,,2.1,,13.55,,444,-0.002,0.02,0.31,24.7,1,10.8,8.3,50,1.97,1.52,-0.05,2.21,1.98,2.23,0.47,1.4,300,3.5,53.1,2.68,,79,1,VA18164811,TNK-01 highly schistose metasediments,metasediments
-12730181.9151487,5648748.46422043,X725712,Select,,-114.35717,45.172686,Dec 2017,Scott Close,Bonanza,North American Cobalt,,,,,,,,,,,,,,,,,,,,,,0,,,0.25,3.17,1960,,,200,4.63,17.3,0.13,0.16,94.7,8760,18,4.13,2.09,10000,11.2,4.38,1.81,3.49,11.85,12.35,0.2,0.1,,1.81,0.068,1.68,64,11.5,0.3,0.42,400,2.57,0.36,3.7,42.2,53.6,280,,4.2,,10.5,,105,-0.002,0.03,1.28,5.1,-1,7.46,1.6,27.4,0.23,1.83,2.13,6.94,0.12,0.46,0.47,7.9,30,3.6,78,2.77,,22,2.9,VA18164811,Quartz vein from TNK pit,quartz vein
-12730247.2307467,5648739.97676781,X725713,Chip,0.5,-114.357757,45.172632,Dec 2017,Scott Close,Bonanza,North American Cobalt,,,,,,,,,,,1,,,,,,,,,,,0,,,0.28,2.84,10000,,,230,0.43,12.4,0.11,0.05,49.1,10000,15,11.1,,869,12.45,8.54,0.68,6.61,23.1,6.83,0.18,0.2,,2.54,0.713,2.02,22.1,19,1.02,0.4,107,0.75,0.03,4.1,20.4,90.9,330,,1.4,,5.33,,208,-0.002,1.01,6.12,3.4,12,4.17,3.2,10.5,0.31,1.45,5.35,11.05,0.12,1.1,1.24,3.8,22,3.1,60.2,8.22,,14,6.4,VA18164811,,
-12730329.9956749,5648734.31899686,X725714,Grab,,-114.3585,45.172596,Dec 2017,Scott Close,Bonanza,North American Cobalt,,,,,,,,,,1,1,,,,,,,,,,,0,,,0.26,6.01,204,,,550,1.29,1.37,0.02,-0.02,23.3,327,29,15.75,,629,2.24,0.78,0.4,9.15,25.2,2.82,0.18,0.3,,0.31,0.236,4.06,7.3,16.3,0.09,0.34,260,0.68,0.05,8.5,10.1,8.5,210,,5.4,,2.3,,343,-0.002,0.02,1.12,7.6,1,2.37,5.9,12.5,0.67,0.41,0.05,9.77,0.26,1.3,0.1,2.4,45,7.5,6.6,0.6,,26,8.6,VA18164811,highly schistose metasediments,metasediments
-12731251.0453494,5650457.63564181,X725609,Soil,,-114.366774,45.183509,,Ben Somps,Bonanza,,,,,,,,,,,,,,,,,,,,,,,0,,,0.091,2.24,46.5,0,10,526,0.63,0.215,0.49,0.111,42.6,66.1,22.5,7.32,,105,,,,3.39,7.8,,0.145,0.106,0.01,,0.054,0.87,17.6,21.6,,0.38,713,0.36,0.02,2.73,,13.8,,,5.56,0.001,,-0.002,105,-0.001,0.02,0.147,3.22,0.2,,1.54,56,-0.005,,0.04,6.65,0.15,0.474,,1.085,22.7,0.186,7.76,,,73.7,4.87,VA18194253,,
-12731161.7671178,5650203.51990856,X725036,Grab,,-114.36597,45.1819,27-Jun-18,Ben Somps,Bonanza,North American Cobalt,1,2,,,,,,,,,,,,,,,,,,,,0,,,2.4,3.53,529,,,460,0.14,7.32,0.08,0.2,11,453,19,16.25,3.58,10000,3.61,1.68,0.25,14.4,21.6,3.36,0.11,0.3,,0.64,6.41,2.7,4.8,31.2,0.15,0.48,174,1.28,0.03,6.3,5.1,20.2,350,,-0.5,,1.26,,316,-0.002,5.88,1.25,4.3,16,1.54,7.6,13,0.43,0.62,6.3,3.88,0.12,1.64,0.23,1,21,0.7,14.5,1.25,,52,8.1,VA18194259,none,
-12731705.0062329,5650458.26738658,X725531,Soil,,-114.370852,45.18351297,2018-07-27T19:38:42Z,Ellie Knight,Bonanza,North American Cobalt,,,,,,,,,,,,,,,,,,,,,,0,,,0.023,3.65,72.4,0,10,409,0.89,0.247,0.28,0.07,36.8,41.9,17.15,5.04,,97.3,,,,3.04,10.45,,0.086,0.397,0.018,,0.059,0.48,13.1,27.7,,0.33,402,0.61,0.02,1.675,,17.7,,,9.92,-0.001,,-0.002,73.9,-0.001,0.01,0.249,3,0.1,,1.66,40.4,-0.005,,0.03,6.98,0.15,0.374,,1.005,31.5,0.25,5.61,,,47.2,17.75,VA18194253,"25 cm deep. Med brn matrix, 90% silt, 10% sand. 15% clasts, mostly 5cm. Open wooded grassy slope.",
-12731160.3199644,5650214.73306789,X725084,Grab,,-114.365959,45.18197103,2018-07-27T16:53:49Z,Ellie Knight,Bonanza,North American Cobalt,3,,,,,trace bor,,,,,,,,,,,,,,,,0,lim 3,,0.34,3.59,40,,,1120,0.24,1.24,0.03,0.02,14.15,62.3,12,9.3,,3940,1.66,1.2,0.28,4.73,13.2,1.56,0.07,0.2,,0.35,0.973,3.49,5.7,23.2,0.11,0.28,99,0.53,0.07,3.7,5.8,1.9,170,,-0.5,,1.46,,250,-0.002,0.56,0.17,2.8,2,1.23,2.5,34,0.28,0.29,0.46,5.54,0.08,1.06,0.14,1.2,13,0.4,8,0.81,,15,6.3,VA18194259,Talus grab from pile of workings on W side of ck.,Quartzite
