utm_east,utm_north,elev_m,sampleid,copper,gold,py,cpy,lith,lithology,hold_id,type,azimuth,dip,thick_m,from_m,to_m
-14615758,7772630,1280,COLLAR,,,,,0,Casing/Overburden,TRK08-01,Collar,245,70,2.13,0,2.13
-14615760,7772630,1278,G0806743,0.01,0.02,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,0.61,2.13,2.74
-14615760,7772630,1277,G0806744,0.01,0.02,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,2.74,4.27
-14615760,7772628,1276,G0806745,0.01,0.03,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,4.27,5.79
-14615762,7772628,1275,G0806746,0.01,0.03,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,5.79,7.32
-14615762,7772628,1273,G0806747,0.01,0.03,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,7.32,8.84
-14615763,7772628,1272,G0806748,0.01,0.02,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,8.84,10.36
-14615763,7772628,1270,G0806749,0.03,0.04,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,10.36,11.89
-14615765,7772626,1269,G0806751,0.07,0.05,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,11.89,13.41
-14615765,7772626,1267,G0806752,0.04,0.04,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,13.41,14.94
-14615767,7772626,1266,G0806753,0.01,0.04,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,14.94,16.46
-14615767,7772626,1265,G0806754,0.01,0.03,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,16.46,17.98
-14615769,7772624,1263,G0806755,0.01,0.02,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,17.98,19.51
-14615769,7772624,1262,G0806756,0,0.02,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,19.51,21.03
-14615771,7772624,1260,G0806757,0.01,0.02,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,21.03,22.56
-14615771,7772624,1259,G0806758,0.01,0.02,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,22.56,24.08
-14615771,7772624,1257,G0806759,0.01,0.02,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,24.08,25.6
-14615772,7772622,1256,G0806761,0.01,0.01,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,25.6,27.13
-14615772,7772622,1255,G0806762,0.01,0.03,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,27.13,28.65
-14615774,7772622,1253,G0806763,0,0.02,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,28.65,30.18
-14615774,7772622,1252,G0806764,0,0.02,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,30.18,31.7
-14615776,7772620,1250,G0806765,0.01,0.04,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,31.7,33.22
-14615776,7772620,1249,G0806766,0.09,0.07,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,33.22,34.75
-14615778,7772620,1247,G0806767,0.06,0.06,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,34.75,36.27
-14615778,7772620,1246,G0806768,0.01,0.02,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,36.27,37.8
-14615780,7772620,1244,G0806769,0.01,0.01,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,37.8,39.32
-14615780,7772618,1243,G0806771,0.01,0.01,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,0.78,39.32,40.1
-14615780,7772618,1242,G0806772,0.01,0,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.33,40.1,41.43
-14615781,7772618,1241,G0806773,0.02,0.03,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,0.94,41.43,42.37
-14615781,7772618,1240,G0806774,0.01,0.02,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,42.37,43.89
-14615783,7772618,1239,G0806775,0,0.02,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,43.89,45.42
-14615783,7772616,1237,G0806776,0,0.05,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,45.42,46.94
-14615785,7772616,1236,G0806777,0,0.07,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,46.94,48.46
-14615785,7772616,1234,G0806778,0,0.07,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,48.46,49.99
-14615785,7772616,1233,G0806779,0.01,0.07,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,49.99,51.51
-14615787,7772616,1232,G0806781,0,0.06,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,51.51,53.04
-14615787,7772614,1230,G0806782,0,0.09,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,53.04,54.56
-14615789,7772614,1229,G0806783,0,0.14,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,54.56,56.08
-14615789,7772614,1227,G0806784,0.01,0.14,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,56.08,57.61
-14615790,7772614,1226,G0806785,0,0.1,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,57.61,59.13
-14615790,7772612,1224,G0806786,0.01,0.16,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,59.13,60.66
-14615792,7772612,1223,G0806787,0,0.13,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,60.66,62.18
-14615792,7772612,1222,G0806788,0,0.14,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,62.18,63.7
-14615794,7772612,1220,G0806789,0,0.09,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,63.7,65.23
-14615794,7772612,1219,G0806791,0,0.1,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,65.23,66.75
-14615796,7772610,1217,G0806792,0.01,0.08,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,66.75,68.28
-14615796,7772610,1216,G0806793,0,0.13,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,68.28,69.8
-14615798,7772610,1214,G0806794,0,0.03,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,69.8,71.32
-14615798,7772610,1213,G0806795,0.01,0.06,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,71.32,72.85
-14615799,7772608,1212,G0806796,0,1.04,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,0.96,72.85,73.81
-14615799,7772608,1211,G0806797,0.01,0.67,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,2.09,73.81,75.9
-14615801,7772608,1209,G0806798,0.01,0.03,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.16,75.9,77.05
-14615801,7772608,1208,G0806799,0.03,0.06,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.37,77.05,78.43
-14615801,7772608,1206,G0806801,0,0.07,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,0.52,78.43,78.94
-14615801,7772608,1206,G0806802,0,0.09,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,78.94,80.47
-14615803,7772606,1204,G0806803,0.01,0.6,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,80.47,81.99
-14615803,7772606,1203,G0806804,0.02,0.26,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,81.99,83.52
-14615805,7772606,1202,G0806805,0.01,0.26,0.1,,200,Plag-phyric Andesite,TRK08-01,Interval,245,70,1.52,83.52,85.04
